optimizer,validation_split,lstm_units,learning_rate,batch_size,epochs,rmse
Adagrad,0.05,60.0,0.001,128.0,270.0,150.7842559814453
Adagrad,0.05,60.0,0.01,128.0,270.0,125.24413299560548
Adagrad,0.05,50.0,0.0001,128.0,270.0,160.45098876953125
Adagrad,0.05,50.0,0.001,128.0,270.0,146.18153381347656
Adagrad,0.05,40.0,0.0001,128.0,270.0,201.72021484375
Adagrad,0.05,50.0,0.01,128.0,270.0,129.1723175048828
Adagrad,0.05,40.0,0.001,128.0,270.0,150.53146362304688
Adagrad,0.05,40.0,0.01,128.0,270.0,122.20922088623048
Adagrad,0.05,30.0,0.0001,128.0,270.0,253.12249755859372
Adagrad,0.05,30.0,0.001,128.0,270.0,149.13417053222656
Adagrad,0.05,30.0,0.01,128.0,270.0,126.48593139648438
Adagrad,0.05,20.0,0.0001,128.0,270.0,389.93310546875
Adagrad,0.05,20.0,0.001,128.0,270.0,140.49362182617188
Adagrad,0.05,20.0,0.01,128.0,270.0,115.79566955566406
Adagrad,0.05,10.0,0.0001,128.0,270.0,552.2420043945312
Adagrad,0.05,10.0,0.001,128.0,270.0,148.6371307373047
Adagrad,0.05,10.0,0.01,128.0,270.0,124.26776123046876
Adagrad,0.05,190.0,0.0001,96.0,270.0,144.28610229492188
Adagrad,0.05,190.0,0.001,96.0,270.0,144.81175231933594
